date,url,title,category
2/26/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-4916114/kemnaker-awasi-tka-di-meikarta,Kemnaker Awasi TKA di Meikarta,finance
2/26/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-4916199/bni-digitalkan-bni-java-jazz-2020,BNI Digitalkan BNI Java Jazz 2020,finance
2/26/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-4916193/terbang-ke-australia-edhy-prabowo-mau-genjot-budi-daya-lobster,"Terbang ke Australia, Edhy Prabowo Mau Genjot Budi Daya Lobster",finance
2/26/2020,https://finance.detik.com/moneter/d-4916133/ojk-siapkan-stimulus-ekonomi-antisipasi-dampak-corona,OJK Siapkan Stimulus Ekonomi Antisipasi Dampak Corona,finance
2/26/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-4916106/saran-buat-anies-rk-yang-mangkir-rapat-banjir-di-dpr,Saran Buat Anies-RK yang Mangkir Rapat Banjir di DPR,finance
2/26/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-4916160/ri-bakal-punya-destinasi-wisata-sejarah-islam-di-ancol,RI Bakal Punya Destinasi Wisata Sejarah Islam di Ancol,finance
2/26/2020,https://finance.detik.com/perencanaan-keuangan/d-4916082/cara-biar-nggak-tertipu-travel-umrah-abal-abal-seperti-first-travel,Cara Biar Nggak Tertipu Travel Umrah Abal-abal Seperti First Travel,finance
2/26/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-4916188/dpr-kritik-cara-anies-atasi-banjir-pesan-keras-erick-thohir-ke-bumn,"DPR Kritik Cara Anies Atasi Banjir, Pesan Keras Erick Thohir ke BUMN",finance
2/26/2020,https://finance.detik.com/moneter/d-4916086/jadi-korban-gagal-bayar-asuransi-bisa-mengadu-ke-sini,Jadi Korban Gagal Bayar Asuransi? Bisa Mengadu ke Sini,finance
2/26/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-4916055/erick-thohir-bumn-bukan-badan-usaha-milik-nenek-lu,Erick Thohir: BUMN Bukan Badan Usaha Milik Nenek Lu!,finance
2/26/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-4916036/terbitkan-resi-pertama-srg-konawe-bantu-ketahanan-pangan-nasional,"Terbitkan Resi Pertama, SRG Konawe Bantu Ketahanan Pangan Nasional",finance
2/26/2020,https://finance.detik.com/properti/d-4915865/jokowi-janji-buka-3-juta-lapangan-kerja-di-ibu-kota-negara-baru,Jokowi Janji Buka 3 Juta Lapangan Kerja di Ibu Kota Negara Baru,finance
2/26/2020,https://finance.detik.com/detiktv/d-4916004/video-erick-thohir-banyak-pihak-swasta-akali-bumn,Video Erick Thohir: Banyak Pihak Swasta Akali BUMN!,finance
